Postcode,lat,Lon
1013EP,52.38123123,4.88985933
1013ER,52.37996338,4.89413741
1013ES,52.38028092,4.89317652
1013ET,52.38042324,4.89216165
1013EV,52.38055504,4.89161386
1013EW,52.38087612,4.89099482
1013EX,52.38135723,4.89079168
1013EZ,52.38138457,4.88990067
1013GA,52.37953475,4.89437049
1013GB,52.38004274,4.89349931
1013GC,52.37963745,4.89315265
1013GD,52.37969076,4.89295873
1013GE,52.38062319,4.89517004
1013GG,52.38026675,4.89367535
1013GH,52.38034690,4.89311417
1013GJ,52.38088886,4.89146197
1013GK,52.38111336,4.89141540
1013GL,52.38094389,4.89284831
